id,code_incident,equipement_id,equipement_code,secteur_id,secteur_nom,region,latitude,longitude,type_incident,libelle,severite,statut,date_detection,date_resolution,duree_resolution_min,duree_estimee_min,description,priorite,ticket_id,technicien_assigne_id,technicien_assigne_nom
1,INC-202606-0001,88,EQ-06-0088,6,Agadir,Souss-Massa,30.430485,-9.669617,MISE_A_JOUR,Echec mise à jour firmware,MINEUR,OUVERT,2026-06-21T18:36:51.419797,,,71,Echec mise à jour firmware sur BTS_3G_AGADIR_088 — secteur Agadir,3,,,
2,INC-202606-0002,107,EQ-03-0107,3,Marrakech,Marrakech-Safi,31.588292,-7.895798,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-22T02:12:55.419797,,,170,Dégradation performances sur BTS_2G_MARRAKECH_107 — secteur Marrakech,2,,,
3,INC-202606-0003,13,EQ-10-0013,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.449052,-5.368746,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-22T12:57:32.419797,,,27,Interférence signal sur SWITCH_TÉTOUAN_013 — secteur Tétouan,3,,,
4,INC-202606-0004,76,EQ-10-0076,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.73919,-5.248763,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-22T10:39:45.419797,,,72,Interférence signal sur BTS_2G_TÉTOUAN_076 — secteur Tétouan,3,,,
5,INC-202606-0005,46,EQ-10-0046,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.676524,-5.501915,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-21T14:02:42.419797,,,387,Panne alimentation sur BTS_5G_TÉTOUAN_046 — secteur Tétouan,1,,,
6,INC-202606-0006,77,EQ-06-0077,6,Agadir,Souss-Massa,30.541978,-9.438889,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-25T05:29:04.419797,,,71,Surcharge trafic sur ROUTEUR_AGADIR_077 — secteur Agadir,2,,,
7,INC-202606-0007,74,EQ-04-0074,4,Fès,Fès-Meknès,34.105465,-4.914818,COUPURE_FIBRE,Coupure fibre optique,CRITIQUE,OUVERT,2026-06-22T20:07:43.419797,,,516,Coupure fibre optique sur OLT_FÈS_074 — secteur Fès,1,,,
8,INC-202606-0008,62,EQ-07-0062,7,Meknès,Fès-Meknès,33.849536,-5.646747,COUPURE_FIBRE,Coupure fibre optique,CRITIQUE,OUVERT,2026-06-22T06:34:52.419797,,,359,Coupure fibre optique sur SWITCH_MEKNÈS_062 — secteur Meknès,1,,,
9,INC-202606-0009,109,EQ-10-0109,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.544779,-5.348327,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-22T08:31:22.419797,,,55,Interférence signal sur BTS_5G_TÉTOUAN_109 — secteur Tétouan,3,,,
10,INC-202606-0010,74,EQ-04-0074,4,Fès,Fès-Meknès,34.105465,-4.914818,COUPURE_FIBRE,Coupure fibre optique,CRITIQUE,OUVERT,2026-06-26T04:02:53.419797,,,467,Coupure fibre optique sur OLT_FÈS_074 — secteur Fès,1,,,
11,INC-202606-0011,99,EQ-04-0099,4,Fès,Fès-Meknès,33.895345,-5.152196,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-24T04:57:36.419797,,,134,Panne totale équipement sur ROUTEUR_FÈS_099 — secteur Fès,1,,,
12,INC-202606-0012,24,EQ-04-0024,4,Fès,Fès-Meknès,33.972601,-4.930464,SURCHARGE,Surcharge trafic,MAJEUR,OUVERT,2026-06-24T17:03:30.419797,,,131,Surcharge trafic sur ROUTEUR_FÈS_024 — secteur Fès,2,,,
13,INC-202606-0013,45,EQ-03-0045,3,Marrakech,Marrakech-Safi,31.45627,-8.158111,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-23T03:53:54.419797,,,193,Panne totale équipement sur ROUTEUR_MARRAKECH_045 — secteur Marrakech,1,,,
14,INC-202606-0014,73,EQ-02-0073,2,Rabat-Salé,Rabat-Salé-Kénitra,33.901303,-6.915543,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-21T19:19:42.419797,,,312,Panne alimentation sur ROUTEUR_RABAT-SALÉ_073 — secteur Rabat-Salé,1,,,
15,INC-202606-0015,95,EQ-08-0095,8,Oujda,Oriental,34.818652,-2.094709,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-22T01:47:11.419797,,,391,Panne totale équipement sur ANTENNE_OUJDA_095 — secteur Oujda,1,,,
16,INC-202606-0016,28,EQ-10-0028,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.462733,-5.380574,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-26T01:20:43.419797,,,472,Panne alimentation sur ANTENNE_TÉTOUAN_028 — secteur Tétouan,1,,,
17,INC-202606-0017,44,EQ-09-0044,9,Kenitra,Rabat-Salé-Kénitra,34.336614,-6.555604,ALARME_RESEAU,Alarme réseau détectée,MINEUR,OUVERT,2026-06-25T10:50:45.419797,,,69,Alarme réseau détectée sur BTS_2G_KENITRA_044 — secteur Kenitra,3,,,
18,INC-202606-0018,93,EQ-05-0093,5,Tanger,Tanger-Tétouan-Al Hoceima,35.660247,-5.790687,INTERFERENCE,Interférence signal,MINEUR,OUVERT,2026-06-27T20:23:01.419797,,,30,Interférence signal sur SWITCH_TANGER_093 — secteur Tanger,3,,,
19,INC-202606-0019,114,EQ-03-0114,3,Marrakech,Marrakech-Safi,31.638042,-8.007123,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-22T20:22:34.419797,,,200,Panne totale équipement sur ANTENNE_MARRAKECH_114 — secteur Marrakech,1,,,
20,INC-202606-0020,97,EQ-08-0097,8,Oujda,Oriental,34.599593,-2.032779,PANNE_COMPLETE,Panne totale équipement,CRITIQUE,OUVERT,2026-06-21T22:49:21.419797,,,259,Panne totale équipement sur ROUTEUR_OUJDA_097 — secteur Oujda,1,,,
21,INC-202606-0021,57,EQ-09-0057,9,Kenitra,Rabat-Salé-Kénitra,34.341864,-6.425398,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-26T20:31:10.419797,,,550,Panne alimentation sur OLT_KENITRA_057 — secteur Kenitra,1,,,
22,INC-202606-0022,57,EQ-09-0057,9,Kenitra,Rabat-Salé-Kénitra,34.341864,-6.425398,PANNE_ALIM,Panne alimentation,CRITIQUE,OUVERT,2026-06-24T06:37:33.419797,,,350,Panne alimentation sur OLT_KENITRA_057 — secteur Kenitra,1,,,
23,INC-202606-0023,97,EQ-08-0097,8,Oujda,Oriental,34.599593,-2.032779,DEGRADATION,Dégradation performances,MAJEUR,OUVERT,2026-06-25T03:35:56.419797,,,170,Dégradation performances sur ROUTEUR_OUJDA_097 — secteur Oujda,2,,,
